major_name_raw,applicants,admit_rate,gpa_25,gpa_75,ability_proxy_mid,source_url,source_year
African American Studies,21,38.0,3.17,3.53,3.35,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
African and Middle Eastern Studies,5,20.0,3.5,3.5,3.5,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
American Indian Studies,12,33.0,3.33,3.66,3.495,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
American Literature and Culture,11,73.0,3.44,3.77,3.605,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Ancient Near East and Egyptology,1,0.0,,,,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Anthropology B.A.,318,66.0,3.55,3.92,3.735,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Anthropology B.S.,56,27.0,3.64,3.82,3.73,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Applied Linguistics,41,54.0,3.54,3.93,3.735,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Applied Mathematics, Pre",379,36.0,3.88,4.0,3.94,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Arabic,3,33.0,3.89,3.89,3.89,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Art History,163,63.0,3.57,3.94,3.755,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Asian American Studies,30,43.0,3.52,3.94,3.73,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Asian Humanities,25,52.0,3.73,3.92,3.825,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Asian Languages and Linguistics,21,48.0,3.64,3.94,3.79,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Asian Religions,10,30.0,3.67,3.9,3.785,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Asian Studies,53,45.0,3.53,3.96,3.745,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Astrophysics,67,34.0,3.75,3.95,3.85,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Atmospheric and Oceanic Sciences,10,20.0,3.37,3.85,3.61,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Atmospheric and Oceanic Sciences/Mathematics,2,50.0,4.0,4.0,4.0,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Biochemistry,321,28.0,3.82,3.97,3.895,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Biology,1162,17.0,3.82,4.0,3.91,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Biophysics,19,32.0,3.83,3.94,3.885,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Business Economics, Pre",3379,10.0,3.89,4.0,3.945,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Central and East European Languages and Cultures,5,60.0,3.59,4.0,3.795,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Chemistry,216,26.0,3.8,4.0,3.9,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Chemistry/Materials Science,8,25.0,3.5,3.7,3.6,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Chicana and Chicano Studies,29,41.0,3.42,3.77,3.595,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Chinese,25,40.0,3.73,3.94,3.835,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Classical Civilization,15,33.0,3.69,3.88,3.785,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Climate Sciences,6,0.0,,,,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Cognitive Science, Pre",306,26.0,3.82,3.95,3.885,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Communication,964,13.0,3.92,4.0,3.96,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Comparative Literature,39,54.0,3.61,3.93,3.77,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Computational Biology,29,55.0,3.82,3.99,3.905,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Data Theory, Pre",163,46.0,3.79,3.93,3.86,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Disability Studies,11,27.0,3.62,3.94,3.78,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Earth and Environmental Science,45,20.0,3.55,3.73,3.64,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Ecology, Behavior and Evolution",52,13.0,3.62,3.91,3.765,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Economics, Pre",1517,16.0,3.91,4.0,3.955,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Education and Social Transformation, Pre",234,56.0,3.58,3.92,3.75,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Engineering Geology,2,50.0,3.55,3.55,3.55,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
English,561,56.0,3.63,3.95,3.79,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Environmental Science,105,33.0,3.61,3.9,3.755,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
European Language and Transcultural Studies,2,50.0,3.42,3.42,3.42,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
European Language and Transcultural Studies with French and Francophone,5,80.0,3.61,3.96,3.785,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
European Language and Transcultural Studies with German,1,0.0,,,,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
European Language and Transcultural Studies with Italian,5,20.0,3.79,3.79,3.79,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
European Language and Transcultural Studies with Scandinavian,1,0.0,,,,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"European Studies, Pre",6,33.0,3.69,3.82,3.755,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Financial Actuarial Mathematics, Pre",92,20.0,3.88,4.0,3.94,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Gender Studies,92,63.0,3.62,3.92,3.77,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Geography,60,62.0,3.66,3.92,3.79,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Geography/Environmental Studies,70,54.0,3.61,3.92,3.765,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Geology,30,33.0,3.62,3.87,3.745,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Geophysics,5,40.0,3.67,3.97,3.82,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Global Studies, Pre",152,41.0,3.66,3.93,3.795,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Greek,3,0.0,,,,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Greek and Latin,3,0.0,,,,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
History,453,58.0,3.68,4.0,3.84,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Human Biology and Society B.A., Pre",50,26.0,3.87,4.0,3.935,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Human Biology and Society B.S., Pre",106,16.0,3.9,4.0,3.95,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"International Development Studies, Pre",50,32.0,3.8,3.99,3.895,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Iranian Studies,3,33.0,3.78,3.78,3.78,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Japanese,42,62.0,3.59,3.91,3.75,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Jewish Studies,0,0.0,,,,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Korean,6,33.0,3.41,4.0,3.705,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Labor Studies,35,46.0,3.65,3.88,3.765,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Latin,1,0.0,,,,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Latin American Studies,6,0.0,,,,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Linguistics,67,58.0,3.61,3.95,3.78,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Linguistics and Anthropology,11,55.0,3.72,3.88,3.8,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Linguistics and Asian Languages and Cultures,21,57.0,3.58,3.86,3.72,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Linguistics and Computer Science,188,40.0,3.63,3.9,3.765,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Linguistics and English,6,50.0,3.12,3.45,3.285,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Linguistics and Philosophy,15,40.0,3.5,4.0,3.75,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Linguistics and Psychology,84,39.0,3.58,3.9,3.74,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Linguistics and Spanish,6,83.0,3.56,3.8,3.68,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Marine Biology,52,8.0,3.66,3.93,3.795,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Mathematics, Pre",268,31.0,3.89,4.0,3.945,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Mathematics for Teaching, Pre",34,26.0,3.88,4.0,3.94,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Mathematics of Computation, Pre",217,48.0,3.87,4.0,3.935,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Mathematics/Applied Science, Pre",35,26.0,3.97,4.0,3.985,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Mathematics/Economics, Pre",149,35.0,3.91,4.0,3.955,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Microbiology, Immunology and Molecular Genetics, Pre",206,29.0,3.81,4.0,3.905,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Middle Eastern Studies,6,33.0,3.62,3.81,3.715,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Molecular, Cell, and Developmental Biology",285,30.0,3.87,4.0,3.935,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Neuroscience,226,22.0,3.8,3.95,3.875,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Nordic Studies,15,7.0,3.95,3.95,3.95,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Philosophy,335,59.0,3.6,3.92,3.76,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Physics,237,31.0,3.84,4.0,3.92,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Physiological Science,153,20.0,3.78,3.95,3.865,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Political Science, Pre",1517,34.0,3.83,4.0,3.915,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Portuguese and Brazilian Studies,1,0.0,,,,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Psychobiology, Pre",183,17.0,3.83,3.98,3.905,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Psychology, Pre",2390,21.0,3.79,4.0,3.895,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Public Affairs, Pre",120,46.0,3.55,3.86,3.705,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Public Health B.A., Pre",259,18.0,3.87,4.0,3.935,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Public Health B.S., Pre",234,6.0,3.93,4.0,3.965,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Russian Language and Literature,3,33.0,3.64,3.64,3.64,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Russian Studies,2,0.0,,,,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
"Sociology, Pre",1199,41.0,3.74,3.98,3.86,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Southeast Asian Studies,0,0.0,,,,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Spanish,38,58.0,3.48,4.0,3.74,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Spanish and Community and Culture,9,44.0,3.41,4.0,3.705,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Spanish and Linguistics,4,50.0,3.45,3.52,3.485,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Spanish and Portuguese,0,0.0,,,,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Statistics and Data Science,780,23.0,3.94,4.0,3.97,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Study of Religion,14,43.0,3.38,3.84,3.61,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Architectural Studies,344,8.0,3.79,3.92,3.855,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Art,328,5.0,3.44,3.87,3.655,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Dance,55,20.0,3.67,3.96,3.815,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Design | Media Arts,360,4.0,3.56,3.96,3.76,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
World Arts and Cultures,56,14.0,3.58,3.83,3.705,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Aerospace Engineering,265,13.0,3.87,4.0,3.935,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Bioengineering,166,10.0,3.96,4.0,3.98,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Chemical Engineering,147,34.0,3.8,3.97,3.885,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Civil Engineering,177,23.0,3.75,3.94,3.845,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Computer Engineering,358,6.0,3.93,4.0,3.965,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Computer Science,1652,5.0,4.0,4.0,4.0,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Computer Science and Engineering,369,9.0,3.94,4.0,3.97,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Electrical Engineering,629,18.0,3.93,4.0,3.965,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Materials Engineering,43,40.0,3.64,3.88,3.76,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Mechanical Engineering,794,12.0,3.92,4.0,3.96,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Ethnomusicology,12,33.0,3.42,3.82,3.62,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Global Jazz Studies,26,0.0,,,,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Music Composition,19,0.0,,,,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Music Education,25,8.0,3.64,3.96,3.8,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Music Industry,119,29.0,3.64,4.0,3.82,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Music Performance,51,6.0,3.2,4.0,3.6,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Musicology,5,20.0,3.82,3.82,3.82,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Nursing Prelicensure,304,7.0,3.68,3.95,3.815,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Film and Television,632,3.0,3.72,3.97,3.845,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
Theater,263,5.0,3.86,4.0,3.93,https://admission.ucla.edu/apply/transfer/transfer-profile/2025/major,2025
